pollno,race,year,location,type_simple,type_detail,pollster,partisan,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment
5383921,2008_Pres-G_US,2008,US,Pres-G,Pres-G,CBS News/New York Times,NA,10/20/08,699,Democrat,52,Republican,39,NA,13,11/4/08,52.92,45.66,7.26,5.74,5.74,1,NA
5383922,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Financial Dynamics,NA,10/20/08,782,Democrat,47,Republican,42,NA,5,11/4/08,52.92,45.66,7.26,2.26,-2.26,1,aka Hotline/Diageo
5383923,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Gallup,NA,10/20/08,2331,Democrat,52,Republican,44,NA,8,11/4/08,52.92,45.66,7.26,0.74,0.74,1,NA
5383924,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,CNN/Opinion Research Corp.,NA,10/20/08,647,Democrat,51,Republican,44,NA,7,11/4/08,52.63,46.33,6.3,0.7,0.7,1,NA
5383925,2008_Pres-G_WV,2008,WV,Pres-G,Pres-G,CNN/Opinion Research Corp.,NA,10/20/08,674,Democrat,41,Republican,53,NA,-12,11/4/08,42.59,55.71,-13.12,1.12,1.12,1,NA
5383926,2008_Pres-G_WV,2008,WV,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/20/08,500,Democrat,43,Republican,52,NA,-9,11/4/08,42.59,55.71,-13.12,4.12,4.12,1,NA
5383966,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/21/08,625,Democrat,45,Republican,46,NA,-1,11/4/08,51.03,48.22,2.81,3.81,-3.81,0,NA
5383967,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,"Schroth, Eldon & Associates",NA,10/21/08,800,Democrat,49,Republican,42,NA,7,11/4/08,51.03,48.22,2.81,4.19,4.19,1,NA
5383968,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,"Strategic Vision, LLC",NA,10/21/08,1200,Democrat,46,Republican,48,NA,-2,11/4/08,51.03,48.22,2.81,4.81,-4.81,0,NA
5383969,2008_Pres-G_GA,2008,GA,Pres-G,Pres-G,"Strategic Vision, LLC",NA,10/21/08,800,Democrat,45,Republican,51,NA,-6,11/4/08,46.99,52.2,-5.21,0.79,-0.79,1,NA
5383970,2008_Pres-G_IA,2008,IA,Pres-G,Pres-G,Big Ten,NA,10/21/08,586,Democrat,52.4,Republican,39.1,NA,13.3,11/4/08,53.93,44.39,9.54,3.76,3.76,1,NA
5383971,2008_Pres-G_IA,2008,IA,Pres-G,Pres-G,Research 2000,NA,10/21/08,600,Democrat,54,Republican,39,NA,15,11/4/08,53.93,44.39,9.54,5.46,5.46,1,NA
5383972,2008_Pres-G_ID,2008,ID,Pres-G,Pres-G,"Harstad Strategic Research, Inc.",NA,10/21/08,503,Democrat,32,Republican,55,NA,-23,11/4/08,36.09,61.52,-25.43,2.43,2.43,1,NA
5383973,2008_Pres-G_IL,2008,IL,Pres-G,Pres-G,Big Ten,NA,10/21/08,572,Democrat,61.2,Republican,31.6,NA,29.6,11/4/08,61.92,36.78,25.14,4.46,4.46,1,NA
5383974,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,Big Ten,NA,10/21/08,586,Democrat,51,Republican,41.5,NA,9.5,11/4/08,49.77,48.74,1.03,8.47,8.47,1,NA
5383975,2008_Pres-G_KY,2008,KY,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/21/08,500,Democrat,44,Republican,52,NA,-8,11/4/08,41.17,57.4,-16.23,8.23,8.23,1,NA
5383976,2008_Pres-G_LA,2008,LA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/21/08,500,Democrat,41,Republican,57,NA,-16,11/4/08,39.93,58.56,-18.63,2.63,2.63,1,NA
5383977,2008_Pres-G_MA,2008,MA,Pres-G,Pres-G,Suffolk University,NA,10/21/08,400,Democrat,53,Republican,34,NA,19,11/4/08,61.8,35.99,25.81,6.81,-6.81,1,NA
5383978,2008_Pres-G_MI,2008,MI,Pres-G,Pres-G,Big Ten,NA,10/21/08,562,Democrat,58.1,Republican,35.8,NA,22.3,11/4/08,57.43,40.96,16.47,5.83,5.83,1,NA
5383979,2008_Pres-G_MN,2008,MN,Pres-G,Pres-G,Big Ten,NA,10/21/08,583,Democrat,57.3,Republican,37.9,NA,19.4,11/4/08,54.06,43.82,10.24,9.16,9.16,1,NA
5383980,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Marshall Marketing & Communications,NA,10/21/08,500,Democrat,48.4,Republican,46.4,NA,2,11/4/08,49.7,49.37,0.33,1.67,1.67,1,NA
5383981,2008_Pres-G_NJ,2008,NJ,Pres-G,Pres-G,Marist College,NA,10/21/08,628,Democrat,56,Republican,39,NA,17,11/4/08,57.27,41.7,15.57,1.43,1.43,1,NA
5383982,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Big Ten,NA,10/21/08,564,Democrat,52.5,Republican,41,NA,11.5,11/4/08,50.62,46.1,4.52,6.98,6.98,1,NA
5383983,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,"Strategic Vision, LLC",NA,10/21/08,1200,Democrat,45,Republican,48,NA,-3,11/4/08,50.62,46.1,4.52,7.52,-7.52,0,NA
5383984,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,Big Ten,NA,10/21/08,566,Democrat,51.9,Republican,41.5,NA,10.4,11/4/08,54.56,44.23,10.33,0.07,0.07,1,NA
5383985,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,Muhlenberg College,NA,10/21/08,608,Democrat,52,Republican,40,NA,12,11/4/08,54.56,44.23,10.33,1.67,1.67,1,NA
5383986,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,"Strategic Vision, LLC",NA,10/21/08,1200,Democrat,50,Republican,43,NA,7,11/4/08,54.56,44.23,10.33,3.33,-3.33,1,NA
5383987,2008_Pres-G_TX,2008,TX,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/21/08,500,Democrat,44,Republican,54,NA,-10,11/4/08,43.68,55.45,-11.77,1.77,1.77,1,NA
5383988,2008_Pres-G_US,2008,US,Pres-G,Pres-G,ABC News/Washington Post,NA,10/21/08,1335,Democrat,54,Republican,43,NA,11,11/4/08,52.92,45.66,7.26,3.74,3.74,1,NA
5383989,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Big Ten,NA,10/21/08,1014,Democrat,51.5,Republican,42.5,NA,9,11/4/08,52.92,45.66,7.26,1.74,1.74,1,NA
5383990,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Fox News/Opinion Dynamics Corp.,NA,10/21/08,900,Democrat,49,Republican,40,NA,9,11/4/08,52.92,45.66,7.26,1.74,1.74,1,NA
5383991,2008_Pres-G_US,2008,US,Pres-G,Pres-G,George Washington University (Battleground),NA,10/21/08,1000,Democrat,49,Republican,46,NA,3,11/4/08,52.92,45.66,7.26,4.26,-4.26,1,NA
5383992,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/21/08,3000,Democrat,52,Republican,45,NA,7,11/4/08,52.92,45.66,7.26,0.26,-0.26,1,NA
5383993,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Research 2000,NA,10/21/08,1100,Democrat,51,Republican,41,NA,10,11/4/08,52.92,45.66,7.26,2.74,2.74,1,NA
5383994,2008_Pres-G_US,2008,US,Pres-G,Pres-G,YouGov,NA,10/21/08,1000,Democrat,49,Republican,41,NA,8,11/4/08,52.92,45.66,7.26,0.74,0.74,1,NA
5383995,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/21/08,1206,Democrat,52.2,Republican,40.3,NA,11.9,11/4/08,52.92,45.66,7.26,4.64,4.64,1,"previously listed as Zogby Analytics, telephone"
5383996,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/21/08,625,Democrat,47,Republican,45,NA,2,11/4/08,52.63,46.33,6.3,4.3,-4.3,1,NA
5383997,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,Virginia Commonwealth University,NA,10/21/08,817,Democrat,51,Republican,40,NA,11,11/4/08,52.63,46.33,6.3,4.7,4.7,1,NA
5383998,2008_Pres-G_WI,2008,WI,Pres-G,Pres-G,Big Ten,NA,10/21/08,584,Democrat,52.9,Republican,40.5,NA,12.4,11/4/08,56.34,42.41,13.93,1.53,-1.53,1,NA
5383999,2008_Pres-G_WI,2008,WI,Pres-G,Pres-G,Research 2000,NA,10/21/08,600,Democrat,52,Republican,41,NA,11,11/4/08,56.34,42.41,13.93,2.93,-2.93,1,NA
5384000,2008_Pres-G_WV,2008,WV,Pres-G,Pres-G,Orion Strategies,NA,10/21/08,600,Democrat,43.5,Republican,49.2,NA,-5.7,11/4/08,42.59,55.71,-13.12,7.42,7.42,1,NA
5384022,2008_Pres-G_AR,2008,AR,Pres-G,Pres-G,Research 2000,NA,10/22/08,600,Democrat,41,Republican,52,NA,-11,11/4/08,38.86,58.72,-19.86,8.86,8.86,1,NA
5384023,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,Public Opinion Strategies,NA,10/22/08,500,Democrat,52,Republican,40,NA,12,11/4/08,53.66,44.71,8.95,3.05,3.05,1,aka Rocky Mountain News
5384024,2008_Pres-G_GA,2008,GA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/22/08,500,Democrat,46,Republican,51,NA,-5,11/4/08,46.99,52.2,-5.21,0.21,0.21,1,NA
5384025,2008_Pres-G_IL,2008,IL,Pres-G,Pres-G,Research 2000,NA,10/22/08,800,Democrat,59,Republican,35,NA,24,11/4/08,61.92,36.78,25.14,1.14,-1.14,1,NA
5384026,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,SurveyUSA,NA,10/22/08,631,Democrat,49,Republican,45,NA,4,11/4/08,49.77,48.74,1.03,2.97,2.97,1,NA
5384027,2008_Pres-G_KS,2008,KS,Pres-G,Pres-G,SurveyUSA,NA,10/22/08,613,Democrat,41,Republican,53,NA,-12,11/4/08,41.65,56.61,-14.96,2.96,2.96,1,NA
5384028,2008_Pres-G_LA,2008,LA,Pres-G,Pres-G,Southeastern Louisiana University,NA,10/22/08,503,Democrat,38.3,Republican,50.6,NA,-12.3,11/4/08,39.93,58.56,-18.63,6.33,6.33,1,NA
5384029,2008_Pres-G_MN,2008,MN,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/22/08,500,Democrat,56,Republican,41,NA,15,11/4/08,54.06,43.82,10.24,4.76,4.76,1,NA
5384030,2008_Pres-G_MO,2008,MO,Pres-G,Pres-G,Research 2000,NA,10/22/08,800,Democrat,48,Republican,47,NA,1,11/4/08,49.29,49.43,-0.14,1.14,1.14,0,NA
5384031,2008_Pres-G_NY,2008,NY,Pres-G,Pres-G,Marist College,NA,10/22/08,527,Democrat,65,Republican,29,NA,36,11/4/08,62.91,36.04,26.87,9.13,9.13,1,NA
5384032,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Public Policy Polling,NA,10/22/08,993,Democrat,51,Republican,44,NA,7,11/4/08,50.62,46.1,4.52,2.48,2.48,1,NA
5384033,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,SurveyUSA,NA,10/22/08,620,Democrat,53,Republican,41,NA,12,11/4/08,54.56,44.23,10.33,1.67,1.67,1,NA
5384034,2008_Pres-G_TN,2008,TN,Pres-G,Pres-G,Research 2000,NA,10/22/08,600,Democrat,38,Republican,54,NA,-16,11/4/08,40.28,54.79,-14.51,1.49,-1.49,1,NA
5384035,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Greenberg Quinlan Rosner (Democracy Corps),NA,10/22/08,1000,Democrat,52,Republican,43,NA,9,11/4/08,52.92,45.66,7.26,1.74,1.74,1,NA
5384036,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Knowledge Networks,NA,10/22/08,1753,Democrat,50,Republican,43,NA,7,11/4/08,52.92,45.66,7.26,0.26,-0.26,1,NA
5384037,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,Public Policy Polling,NA,10/22/08,1231,Democrat,52,Republican,43,NA,9,11/4/08,52.63,46.33,6.3,2.7,2.7,1,NA
5384038,2008_Pres-G_WA,2008,WA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/22/08,500,Democrat,54,Republican,43,NA,11,11/4/08,57.65,40.48,17.17,6.17,-6.17,1,NA
5384039,2008_Pres-G_WA,2008,WA,Pres-G,Pres-G,University of Washington,NA,10/22/08,600,Democrat,55,Republican,34,NA,21,11/4/08,57.65,40.48,17.17,3.83,3.83,1,NA
5384057,2008_Pres-G_AZ,2008,AZ,Pres-G,Pres-G,Northern Arizona University,NA,10/23/08,600,Democrat,41,Republican,49,NA,-8,11/4/08,45.12,53.64,-8.52,0.52,0.52,1,NA
5384058,2008_Pres-G_CA,2008,CA,Pres-G,Pres-G,Field Research Corporation (Field Poll),NA,10/23/08,966,Democrat,55,Republican,33,NA,22,11/4/08,61.01,36.95,24.06,2.06,-2.06,1,NA
5384059,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Opinion Savvy/InsiderAdvantage,NA,10/23/08,562,Democrat,48,Republican,47,NA,1,11/4/08,51.03,48.22,2.81,1.81,-1.81,1,previously listed as InsiderAdvantage
5384060,2008_Pres-G_GA,2008,GA,Pres-G,Pres-G,Opinion Savvy/InsiderAdvantage,NA,10/23/08,615,Democrat,48,Republican,47,NA,1,11/4/08,46.99,52.2,-5.21,6.21,6.21,0,previously listed as InsiderAdvantage
5384061,2008_Pres-G_GA,2008,GA,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/23/08,625,Democrat,43,Republican,49,NA,-6,11/4/08,46.99,52.2,-5.21,0.79,-0.79,1,NA
5384062,2008_Pres-G_IA,2008,IA,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/23/08,625,Democrat,51,Republican,40,NA,11,11/4/08,53.93,44.39,9.54,1.46,1.46,1,NA
5384063,2008_Pres-G_IA,2008,IA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/23/08,700,Democrat,52,Republican,44,NA,8,11/4/08,53.93,44.39,9.54,1.54,-1.54,1,NA
5384064,2008_Pres-G_MO,2008,MO,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/23/08,625,Democrat,45,Republican,46,NA,-1,11/4/08,49.29,49.43,-0.14,0.86,-0.86,1,NA
5384065,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/23/08,800,Democrat,47,Republican,47,NA,0,11/4/08,49.7,49.37,0.33,0.33,-0.33,0.5,NA
5384066,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/23/08,700,Democrat,48,Republican,50,NA,-2,11/4/08,49.7,49.37,0.33,2.33,-2.33,0,NA
5384067,2008_Pres-G_NH,2008,NH,Pres-G,Pres-G,Marist College,NA,10/23/08,655,Democrat,50,Republican,45,NA,5,11/4/08,54.13,44.52,9.61,4.61,-4.61,1,NA
5384068,2008_Pres-G_NH,2008,NH,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/23/08,700,Democrat,50,Republican,46,NA,4,11/4/08,54.13,44.52,9.61,5.61,-5.61,1,NA
5384069,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Opinion Savvy/InsiderAdvantage,NA,10/23/08,408,Democrat,52,Republican,42,NA,10,11/4/08,50.62,46.1,4.52,5.48,5.48,1,previously listed as InsiderAdvantage
5384070,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,Temple University,NA,10/23/08,761,Democrat,52,Republican,43,NA,9,11/4/08,54.56,44.23,10.33,1.33,-1.33,1,NA
5384071,2008_Pres-G_SD,2008,SD,Pres-G,Pres-G,Research 2000,NA,10/23/08,600,Democrat,41,Republican,50,NA,-9,11/4/08,44.75,53.16,-8.41,0.59,-0.59,1,NA
5384072,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Financial Dynamics,NA,10/23/08,869,Democrat,50,Republican,43,NA,7,11/4/08,52.92,45.66,7.26,0.26,-0.26,1,aka Hotline/Diageo
5384073,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Gallup,NA,10/23/08,2358,Democrat,51,Republican,43,NA,8,11/4/08,52.92,45.66,7.26,0.74,0.74,1,NA
5384074,2008_Pres-G_US,2008,US,Pres-G,Pres-G,IBD/TIPP,NA,10/23/08,886,Democrat,46.5,Republican,43.3,NA,3.2,11/4/08,52.92,45.66,7.26,4.06,-4.06,1,NA
5384075,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Princeton Survey Research Associates International,NA,10/23/08,882,Democrat,53,Republican,41,NA,12,11/4/08,52.92,45.66,7.26,4.74,4.74,1,NA
5384076,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,Roanoke College,NA,10/23/08,614,Democrat,48,Republican,39,NA,9,11/4/08,52.63,46.33,6.3,2.7,2.7,1,NA
5384077,2008_Pres-G_WI,2008,WI,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/23/08,500,Democrat,51,Republican,44,NA,7,11/4/08,56.34,42.41,13.93,6.93,-6.93,1,NA
5384078,2008_Pres-G_WV,2008,WV,Pres-G,Pres-G,Research 2000,NA,10/23/08,600,Democrat,43,Republican,49,NA,-6,11/4/08,42.59,55.71,-13.12,7.12,7.12,1,NA
5384094,2008_Pres-G_AZ,2008,AZ,Pres-G,Pres-G,Grove Insight,NA,10/24/08,600,Democrat,40,Republican,44,NA,-4,11/4/08,45.12,53.64,-8.52,4.52,4.52,1,NA
5384095,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,GfK Group,NA,10/24/08,626,Democrat,50,Republican,41,NA,9,11/4/08,53.66,44.71,8.95,0.05,0.05,1,NA
5384096,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,GfK Group,NA,10/24/08,600,Democrat,45,Republican,43,NA,2,11/4/08,51.03,48.22,2.81,0.81,-0.81,1,NA
5384097,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Quinnipiac University,NA,10/24/08,1435,Democrat,47,Republican,45,NA,2,11/4/08,51.03,48.22,2.81,0.81,-0.81,1,NA
5384098,2008_Pres-G_IA,2008,IA,Pres-G,Pres-G,Marist College,NA,10/24/08,625,Democrat,52,Republican,42,NA,10,11/4/08,53.93,44.39,9.54,0.46,0.46,1,NA
5384099,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,Howey Politics/DePauw University,NA,10/24/08,600,Democrat,45,Republican,47,NA,-2,11/4/08,49.77,48.74,1.03,3.03,-3.03,0,NA
5384100,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,Research 2000,NA,10/24/08,600,Democrat,46,Republican,45,NA,1,11/4/08,49.77,48.74,1.03,0.03,-0.03,1,NA
5384101,2008_Pres-G_MT,2008,MT,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/24/08,625,Democrat,44,Republican,48,NA,-4,11/4/08,47.25,49.51,-2.26,1.74,-1.74,1,NA
5384102,2008_Pres-G_NC,2008,NC,Pres-G,Pres-G,GfK Group,NA,10/24/08,601,Democrat,48,Republican,46,NA,2,11/4/08,49.7,49.37,0.33,1.67,1.67,1,NA
5384103,2008_Pres-G_NH,2008,NH,Pres-G,Pres-G,GfK Group,NA,10/24/08,600,Democrat,55,Republican,37,NA,18,11/4/08,54.13,44.52,9.61,8.39,8.39,1,NA
5384104,2008_Pres-G_NH,2008,NH,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/24/08,625,Democrat,50,Republican,39,NA,11,11/4/08,54.13,44.52,9.61,1.39,1.39,1,NA
5384105,2008_Pres-G_NV,2008,NV,Pres-G,Pres-G,GfK Group,NA,10/24/08,628,Democrat,52,Republican,40,NA,12,11/4/08,55.15,42.65,12.5,0.5,-0.5,1,NA
5384106,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,GfK Group,NA,10/24/08,607,Democrat,48,Republican,41,NA,7,11/4/08,50.62,46.1,4.52,2.48,2.48,1,NA
5384107,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Quinnipiac University,NA,10/24/08,1425,Democrat,51,Republican,42,NA,9,11/4/08,50.62,46.1,4.52,4.48,4.48,1,NA
5384108,2008_Pres-G_OR,2008,OR,Pres-G,Pres-G,"Davis, Hibbitts & Midghall, Inc.",NA,10/24/08,500,Democrat,53,Republican,34,NA,19,11/4/08,56.75,40.4,16.35,2.65,2.65,1,NA
5384109,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,GfK Group,NA,10/24/08,607,Democrat,52,Republican,40,NA,12,11/4/08,54.56,44.23,10.33,1.67,1.67,1,NA
5384110,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,Franklin & Marshall College,NA,10/24/08,545,Democrat,53,Republican,40,NA,13,11/4/08,54.56,44.23,10.33,2.67,2.67,1,NA
5384111,2008_Pres-G_PA,2008,PA,Pres-G,Pres-G,Quinnipiac University,NA,10/24/08,1364,Democrat,53,Republican,41,NA,12,11/4/08,54.56,44.23,10.33,1.67,1.67,1,NA
5384112,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Harris Interactive,NA,10/24/08,1695,Democrat,50,Republican,44,NA,6,11/4/08,52.92,45.66,7.26,1.26,-1.26,1,"previously listed as Harris Interactive, online"
5384113,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/24/08,3000,Democrat,52,Republican,44,NA,8,11/4/08,52.92,45.66,7.26,0.74,0.74,1,NA
5384114,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Research 2000,NA,10/24/08,1100,Democrat,51,Republican,40,NA,11,11/4/08,52.92,45.66,7.26,3.74,3.74,1,NA
5384115,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/24/08,1203,Democrat,49.4,Republican,44.1,NA,5.3,11/4/08,52.92,45.66,7.26,1.96,-1.96,1,"previously listed as Zogby Analytics, telephone"
5384116,2008_Pres-G_UT,2008,UT,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/24/08,625,Democrat,32,Republican,55,NA,-23,11/4/08,34.41,62.58,-28.17,5.17,5.17,1,NA
5384117,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,ABC News/Washington Post,NA,10/24/08,784,Democrat,52,Republican,44,NA,8,11/4/08,52.63,46.33,6.3,1.7,1.7,1,NA
5384118,2008_Pres-G_VA,2008,VA,Pres-G,Pres-G,GfK Group,NA,10/24/08,601,Democrat,49,Republican,42,NA,7,11/4/08,52.63,46.33,6.3,0.7,0.7,1,NA
5384130,2008_Pres-G_AK,2008,AK,Pres-G,Pres-G,YouGov,NA,10/25/08,358,Democrat,38,Republican,55,NA,-17,11/4/08,37.89,59.42,-21.53,4.53,4.53,1,NA
5384131,2008_Pres-G_AL,2008,AL,Pres-G,Pres-G,YouGov,NA,10/25/08,452,Democrat,39,Republican,57,NA,-18,11/4/08,38.74,60.32,-21.58,3.58,3.58,1,NA
5384132,2008_Pres-G_AR,2008,AR,Pres-G,Pres-G,YouGov,NA,10/25/08,491,Democrat,41,Republican,53,NA,-12,11/4/08,38.86,58.72,-19.86,7.86,7.86,1,NA
5384133,2008_Pres-G_AZ,2008,AZ,Pres-G,Pres-G,Arizona State University,NA,10/25/08,1019,Democrat,44,Republican,46,NA,-2,11/4/08,45.12,53.64,-8.52,6.52,6.52,1,NA
5384134,2008_Pres-G_AZ,2008,AZ,Pres-G,Pres-G,YouGov,NA,10/25/08,682,Democrat,46,Republican,50,NA,-4,11/4/08,45.12,53.64,-8.52,4.52,4.52,1,NA
5384135,2008_Pres-G_CA,2008,CA,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/25/08,500,Democrat,61,Republican,34,NA,27,11/4/08,61.01,36.95,24.06,2.94,2.94,1,NA
5384136,2008_Pres-G_CA,2008,CA,Pres-G,Pres-G,YouGov,NA,10/25/08,999,Democrat,55,Republican,40,NA,15,11/4/08,61.01,36.95,24.06,9.06,-9.06,1,NA
5384137,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,National Journal,NA,10/25/08,409,Democrat,48,Republican,44,NA,4,11/4/08,53.66,44.71,8.95,4.95,-4.95,1,NA
5384138,2008_Pres-G_CO,2008,CO,Pres-G,Pres-G,YouGov,NA,10/25/08,685,Democrat,55,Republican,40,NA,15,11/4/08,53.66,44.71,8.95,6.05,6.05,1,NA
5384139,2008_Pres-G_CT,2008,CT,Pres-G,Pres-G,YouGov,NA,10/25/08,704,Democrat,58,Republican,37,NA,21,11/4/08,60.59,38.22,22.37,1.37,-1.37,1,NA
5384140,2008_Pres-G_DE,2008,DE,Pres-G,Pres-G,YouGov,NA,10/25/08,346,Democrat,59,Republican,37,NA,22,11/4/08,61.94,36.95,24.99,2.99,-2.99,1,NA
5384141,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,National Journal,NA,10/25/08,408,Democrat,45,Republican,44,NA,1,11/4/08,51.03,48.22,2.81,1.81,-1.81,1,NA
5384142,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Suffolk University,NA,10/25/08,600,Democrat,49,Republican,44,NA,5,11/4/08,51.03,48.22,2.81,2.19,2.19,1,NA
5384143,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,YouGov,NA,10/25/08,1001,Democrat,49,Republican,47,NA,2,11/4/08,51.03,48.22,2.81,0.81,-0.81,1,NA
5384144,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/25/08,603,Democrat,47.2,Republican,46.9,NA,0.3,11/4/08,51.03,48.22,2.81,2.51,-2.51,1,"previously listed as Zogby Analytics, telephone"
5384145,2008_Pres-G_GA,2008,GA,Pres-G,Pres-G,YouGov,NA,10/25/08,910,Democrat,47,Republican,50,NA,-3,11/4/08,46.99,52.2,-5.21,2.21,2.21,1,NA
5384146,2008_Pres-G_HI,2008,HI,Pres-G,Pres-G,YouGov,NA,10/25/08,337,Democrat,56,Republican,34,NA,22,11/4/08,71.85,26.58,45.27,23.27,-23.27,1,NA
5384147,2008_Pres-G_IA,2008,IA,Pres-G,Pres-G,YouGov,NA,10/25/08,795,Democrat,52,Republican,41,NA,11,11/4/08,53.93,44.39,9.54,1.46,1.46,1,NA
5384148,2008_Pres-G_ID,2008,ID,Pres-G,Pres-G,YouGov,NA,10/25/08,372,Democrat,36,Republican,59,NA,-23,11/4/08,36.09,61.52,-25.43,2.43,2.43,1,NA
5384149,2008_Pres-G_IL,2008,IL,Pres-G,Pres-G,YouGov,NA,10/25/08,783,Democrat,58,Republican,39,NA,19,11/4/08,61.92,36.78,25.14,6.14,-6.14,1,NA
5384150,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,YouGov,NA,10/25/08,789,Democrat,45,Republican,53,NA,-8,11/4/08,49.77,48.74,1.03,9.03,-9.03,0,NA
5384151,2008_Pres-G_IN,2008,IN,Pres-G,Pres-G,Zogby Interactive/JZ Analytics,NA,10/25/08,601,Democrat,44,Republican,50.2,NA,-6.2,11/4/08,49.77,48.74,1.03,7.23,-7.23,0,"previously listed as Zogby Analytics, telephone"
5384152,2008_Pres-G_KS,2008,KS,Pres-G,Pres-G,YouGov,NA,10/25/08,499,Democrat,41,Republican,52,NA,-11,11/4/08,41.65,56.61,-14.96,3.96,3.96,1,NA
